real verb class vsense animrec animth defrec defth prorec proth accrec accth ldiff mod
NP feed t feed.t animate inanim definite indef pronom nonpro given notgiven 2.6390573 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.4054651 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 2.5649494 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP offer c offer.c animate inanim definite definite nonpro nonpro given notgiven 0.4054651 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP bring a bring.a animate inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP teach a teach.a animate inanim definite indef pronom nonpro given notgiven 2.3978953 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP offer a offer.a animate inanim definite indef nonpro nonpro given notgiven 0.4054651 wallstreet
NP give a give.a inanim inanim definite definite nonpro nonpro given notgiven 0.4054651 wallstreet
NP pay t pay.t animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 0 wallstreet
NP give c give.c animate inanim indef definite nonpro nonpro notgiven notgiven 2.0794415 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP send t send.t animate inanim indef indef nonpro nonpro notgiven notgiven 2.1690537 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP grant a grant.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 1.8718022 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.9459101 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.5040774 wallstreet
NP grant a grant.a animate inanim definite definite nonpro nonpro given notgiven 1.7917594 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 1.6094379 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 2.442347 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.4663371 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP send t send.t animate inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP send c send.c animate inanim definite definite pronom nonpro given given 0.6931472 wallstreet
NP deny p deny.p animate inanim definite definite nonpro nonpro notgiven notgiven 2.1972246 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.3025851 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given given 0 wallstreet
NP hand t hand.t animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP owe f owe.f animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP bring a bring.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.6094379 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro notgiven notgiven 1.2527629 wallstreet
NP give c give.c animate inanim definite indef pronom nonpro given notgiven 1.9459101 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given notgiven 0.6931472 wallstreet
NP cost p cost.p animate inanim indef indef nonpro nonpro notgiven notgiven -0.1823216 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 3.5263605 wallstreet
NP cost p cost.p animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2527629 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.7917595 wallstreet
NP offer t offer.t animate inanim indef indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given given 1.7917595 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given given 0.4054651 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 2.3978953 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.9459101 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP cost p cost.p animate inanim indef indef nonpro nonpro notgiven notgiven 0 wallstreet
NP offer a offer.a animate inanim indef definite nonpro nonpro notgiven notgiven 0.2231435 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.2039728 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.1972246 wallstreet
NP give t give.t animate inanim indef indef nonpro nonpro notgiven notgiven -1.5040774 wallstreet
NP give a give.a animate animate definite indef nonpro nonpro given notgiven -0.2876821 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7047481 wallstreet
NP send t send.t animate inanim definite indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 2.0794415 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.5649494 wallstreet
NP owe a owe.a animate inanim definite indef nonpro nonpro given notgiven 1.9459101 wallstreet
NP loan t loan.t animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP award t award.t animate inanim definite indef pronom nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.7917594 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP give a give.a animate inanim indef definite nonpro nonpro notgiven notgiven 2.7725887 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.7917594 wallstreet
NP give a give.a animate inanim definite definite nonpro nonpro given notgiven 1.2527629 wallstreet
NP pay t pay.t inanim inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro notgiven notgiven 0.1823216 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.8332133 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.4054651 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.7080502 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.3025851 wallstreet
NP award t award.t animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP owe a owe.a animate inanim definite indef nonpro nonpro given notgiven 1.7917594 wallstreet
NP do a do.a animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP do a do.a animate inanim definite indef pronom nonpro given notgiven 1.0986123 wallstreet
NP allow a allow.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.7917595 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.4054651 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.3862944 wallstreet
NP give c give.c animate inanim indef indef nonpro nonpro notgiven notgiven 0.4054651 wallstreet
NP give t give.t animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.0794415 wallstreet
NP send t send.t animate inanim definite indef nonpro nonpro notgiven notgiven 1.658228 wallstreet
NP cost p cost.p animate inanim indef indef nonpro nonpro notgiven notgiven 1.6094379 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.3862943 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.3862943 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven -0.2876821 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.3862943 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7047481 wallstreet
NP give a give.a animate animate definite indef nonpro nonpro given given 2.1972246 wallstreet
NP teach a teach.a animate inanim indef indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP bet f bet.f animate inanim definite indef nonpro nonpro notgiven notgiven -0.6931472 wallstreet
NP tell a tell.a animate inanim definite indef pronom pronom given notgiven 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven -1.0296194 wallstreet
NP tell a tell.a animate inanim definite indef pronom nonpro given notgiven 1.3862944 wallstreet
NP grant a grant.a animate inanim definite indef nonpro nonpro given notgiven 1.540445 wallstreet
NP give t give.t animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.3025851 wallstreet
NP offer a offer.a animate inanim indef definite nonpro nonpro given notgiven 2.3978953 wallstreet
NP deliver a deliver.a animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.9459101 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.7047481 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.9459101 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro given notgiven 0.8472978 wallstreet
NP pay t pay.t animate inanim definite indef nonpro nonpro notgiven notgiven 0 wallstreet
NP give a give.a inanim inanim indef definite nonpro nonpro notgiven notgiven 0.4054651 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP cost p cost.p animate inanim definite indef pronom nonpro given notgiven 1.3862944 wallstreet
NP pay t pay.t animate inanim indef indef nonpro nonpro given notgiven 3.4965076 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
NP lend t lend.t animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.0794415 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.5649494 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.2527629 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 2.3025851 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro notgiven notgiven 2.944439 wallstreet
NP allow a allow.a animate inanim indef indef nonpro nonpro notgiven notgiven 2.8332133 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 0.6931472 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro notgiven notgiven 0.9162907 wallstreet
NP leave a leave.a animate inanim definite indef pronom nonpro given notgiven 1.9459101 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.7917595 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.7917595 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.944439 wallstreet
NP extend t extend.t animate inanim definite indef nonpro nonpro given notgiven 2.2512918 wallstreet
NP offer a offer.a animate inanim definite definite nonpro nonpro notgiven notgiven -0.3364722 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.6094379 wallstreet
NP give a give.a inanim animate definite indef nonpro nonpro given notgiven 1.540445 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.7917594 wallstreet
NP promise a promise.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP leave a leave.a animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 1.0986123 wallstreet
NP grant a grant.a animate inanim definite indef nonpro nonpro given notgiven 0.5877867 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given given 0.6931472 wallstreet
NP give a give.a animate inanim definite definite pronom nonpro given given 0.6931472 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 1.7047481 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven -0.9162907 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.1972246 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP give t give.t animate inanim definite indef nonpro nonpro notgiven notgiven -0.4054651 wallstreet
NP tell a tell.a animate inanim indef indef nonpro nonpro notgiven notgiven -1.0986123 wallstreet
NP give a give.a inanim inanim definite indef pronom nonpro given notgiven 0 wallstreet
NP offer t offer.t animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP cost p cost.p animate inanim definite indef nonpro nonpro given notgiven 0.6931472 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 2.1400661 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give a give.a inanim inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP award a award.a animate inanim definite definite nonpro nonpro notgiven notgiven 1.4663371 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 2.6026897 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro notgiven notgiven 0.6931472 wallstreet
NP offer a offer.a animate inanim indef indef nonpro nonpro given notgiven 1.7917595 wallstreet
NP extend a extend.a animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 2.0794415 wallstreet
NP guarantee a guarantee.a animate inanim indef definite nonpro nonpro notgiven notgiven 1.7917595 wallstreet
NP give c give.c animate inanim definite definite pronom nonpro given notgiven 2.3978953 wallstreet
NP give a give.a animate inanim definite definite pronom pronom given given 0 wallstreet
NP give a give.a animate inanim definite indef nonpro nonpro given notgiven 0.9162907 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.9459101 wallstreet
NP lend t lend.t animate inanim definite indef nonpro nonpro given notgiven 0 wallstreet
NP owe f owe.f animate inanim indef indef nonpro nonpro notgiven notgiven 1.0986123 wallstreet
NP give a give.a animate inanim indef indef nonpro nonpro given notgiven 3.0445224 wallstreet
NP give a give.a animate inanim definite indef pronom nonpro given notgiven 1.6094379 wallstreet
